Film,Scare Level,Quality Level ,Gore Level ,Trailer
The Ritual (2017),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=Vfugwq2uoa0
Night House (2021),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=2Tshycci2ZA
The Dark and the Wicked (2020),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=zM-jmNmX50Q
Alien (1979),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=jQ5lPt9edzQ
Aliens (1986),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=oSeQQlaCZgU
Prometheus (2012),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=yA6OKoW30Pk
The Lighthouse (2019),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=Hyag7lR8CPA
The Empty Man (2020),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=tk6u9X1bW30
An American Werewolf in London (1981),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=Tfz9AhPnM8c
The Thing (1989),Drag Me to Hell,Masterpiece,Buckets & Buckets,https://www.youtube.com/watch?v=brPRW-_OcdE
The Void (2017),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=5nwjxukw5T0
Late Night with the Devil (2024),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=YeKYfneOH3o
Ghost Stories (2018),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=D4lkpROfQ3k
Ghostwatch (1992),Drag Me to Hell,Great ,Not a Dop,https://www.youtube.com/watch?v=Lw7re8HQ2lY
The Sixth Sense (1999),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=3-ZP95NF_Wk
Poltergeist (1982),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=9eZgEKjYJqA
Train to Busan (2016),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=1ovgxN2VWNc
Evil Dead II (1987),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=7qBGnzz7mPI
The Beyond (1981),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=9asxICiFPlY
Cube (1997),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=Esjc0rPj3K4
Lost Highway (1997),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=1nKjO9QCSic
From Beyond (1986),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=d3D9O9vrDjw
Reanimator (1985),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=w_bWa9vkF_w
Misery (1990),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=XHQ9CPRfDsw
It (1990),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=iMspVKv56vQ
The Slumber Party Massacre (1982),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=BOTWFcVXm9Y
High Tension (2003),Drag Me to Hell,Meh,Buckets & Buckets,https://www.youtube.com/watch?v=SIFwOugjyKQ
The Omen (1976),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=kqAYR6z7yAU
Jeepers Creepers (2001),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=5T7TFIOZ2xU
Bad Things (2023),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=xGp-r3ugeWs
We Need to Talk About Kevin (2011),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=SfQaRK3BCYU
Castle Freak (1995),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=zDRCp-nJEaI
Chained (2012),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=Uney3BbKyjU
Daddy's head (2024),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=545hhCshODg
Possession (1981),Drag Me to Hell,Masterpiece,Missing Limbs,https://www.youtube.com/watch?v=aLXW-oVbTxE
28 Days Later (2002),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=mWEhfF27O0c
Dead Alive/Brain Dead (1992),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=t3yUirgf4hE
Titane (2021),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=Q5_w2W5G9OM&vl=en
Society (1989),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=4Us1_sbw5WI
Tetsuo: The Iron Man (1989),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=ShJvheZHXdI
Possessor (2020),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=D0Gh9nOIV3w
V/H/S 94 (2021),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=opnSln8Ue2U
V/H/S 85 (2023),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=Ke20dnbwZXs
VHS (2012),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=NaSUZnIztuY
Rec (2007),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=KLizS5GFBQI
Hell House LLC (2015),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=FQtqL6UskEY
Grave Encounters (2011),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=HEmuFgHZZK0
The Host (2020),Drag Me to Hell,Great ,Paper Cut,https://www.youtube.com/watch?v=SNlKbqHqGcY
Blair Witch (1999),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=MBZ-POVsrlI
The Ring (2002),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=CG7BAY6_hsw
Hereditary (2018),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=V6wWKNij_1M
Barbarian (2022),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=Dr89pmKrqkI
Event Horizon (1997),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=2nlkEY-3CMI
The Shining (1980),Drag Me to Hell,Masterpiece,Paper Cut,https://www.youtube.com/watch?v=S014oGZiSdI
The Texas Chain Saw Massacre (1974),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=kqAYR6z7yAU
Rosemary's Baby (1968),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=BjpA6IH_Skc
